연번,자치구,ID,정류소명,주소,행정동명,위도,경도
1265,북구,4413,용봉2휴먼시아아파트(신안교입구),광주광역시 북구 신안동 484,북구 신안동,35.1723845625867,126.904885728873
1266,북구,4414,우산주공1단지(현대아파트),광주광역시 북구 용봉동 1284,북구 용봉동,35.1797767367948,126.915025645226
1267,북구,4415,동강대(서방시장(북)),광주광역시 북구 우산동 353-5,북구 우산동,,
1268,북구,4416,말바우시장(서)(말바우시장(동)),광주광역시 북구 우산동 234,북구 우산동,35.1737595483924,126.920056122916
1269,북구,4417,말바우시장(서)(평화맨션),광주광역시 북구 우산동 234,북구 우산동,35.1737595483924,126.920056122916
1270,북구,4418,문화중(현대아파트),광주광역시 북구 우산동 622,북구 우산동,35.1782091465838,126.921093924693
1271,북구,4419,문화중(광주병원),광주광역시 북구 우산동 622,북구 우산동,35.1782091465838,126.921093924693
1272,북구,4421,서방시장(남)(계림사거리),광주광역시 북구 우산동 554-7,북구 우산동,35.1663257671685,126.919357055861
1273,북구,4422,서방시장(북)(서방시장(남)),광주광역시 북구 풍향동 574-13,북구 풍향동,35.1684489606897,126.920103910991
1274,북구,4423,서방시장(서)(향토문화거리입구),광주광역시 북구 우산동 561-1,북구 우산동,35.1663232741681,126.919538940176
1275,북구,4424,향토문화거리입구(동부교육청),광주광역시 북구 우산동 561-1,북구 우산동,35.1663232741681,126.919538940176
1276,북구,4425,말바우시장(남)(동강대),광주광역시 북구 우산동 257-2,북구 우산동,35.1705908940725,126.921678134408
1277,북구,4426,현대아파트(주공아파트),광주광역시 북구 우산동 634,북구 우산동,35.1786438503251,126.919419763439
1278,북구,4427,서영대(동림우미린아파트),광주광역시 북구 운암동 789-1,북구 운암동,35.1759716998626,126.869556745888
1279,북구,4428,서영대(운암초교),광주광역시 북구 운암동 923-1,북구 운암동,35.1756118423834,126.870784640757
1280,북구,4429,동천마을6단지(동천마을3단지),광주광역시 북구 운암동 1298,북구 운암동,35.1717094923932,126.871447586448
1281,북구,4431,운암벽산블루밍(문화예술회관),광주광역시 북구 운암동 99,북구 운암동,35.1753982177361,126.881077754694
1282,북구,4432,운암도서관(운암초교),광주광역시 북구 운암동 99,북구 운암동,35.1753982177361,126.881077754694
